config_id,canonical_config_id,experiment_family,method,display_method,dataset,setting,evaluation_mode,budget_or_alpha,artifact_path,artifact_clean_win,artifact_mixed_tradeoff,clean_win,near_clean,mixed_tradeoff,dominated,pareto_label,win_count,loss_count,protected_loss_count,target_gain_count,target_loss_count,target_gain_minus_protected_loss,win_metrics,loss_metrics,protected_loss_metrics,target_gain_metrics,target_loss_metrics,runtime_device,is_canonical
anchor_repair|adaptive_risk_parity_safe_hvg|duo8_pbmc|100,D:\code_py\sc-RNAseq\artifacts_benchmarkhvg_anchor_repair_20260425_v1\risk_parity_safe__duo8_pbmc\official_extra_rank_eval_budget_100.json|100,anchor_repair,adaptive_risk_parity_safe_hvg,anchor_repair:risk_parity_safe,duo8_pbmc,official_partial_discrete,discrete,100,D:\code_py\sc-RNAseq\artifacts_benchmarkhvg_anchor_repair_20260425_v1\risk_parity_safe__duo8_pbmc,False,True,False,False,True,False,mixed_tradeoff,3,1,1,2,0,1.0,"var_ratio,ari,nmi",lisi,lisi,"ari,nmi",,cuda,True
anchor_repair|adaptive_risk_parity_safe_hvg|duo8_pbmc|200,D:\code_py\sc-RNAseq\artifacts_benchmarkhvg_anchor_repair_20260425_v1\risk_parity_safe__duo8_pbmc\official_extra_rank_eval_budget_200.json|200,anchor_repair,adaptive_risk_parity_safe_hvg,anchor_repair:risk_parity_safe,duo8_pbmc,official_partial_discrete,discrete,200,D:\code_py\sc-RNAseq\artifacts_benchmarkhvg_anchor_repair_20260425_v1\risk_parity_safe__duo8_pbmc,False,True,False,False,True,False,mixed_tradeoff,3,1,1,2,0,1.0,"var_ratio,ari,nmi",lisi,lisi,"ari,nmi",,cuda,True
anchor_repair|adaptive_risk_parity_safe_hvg|duo8_pbmc|25,D:\code_py\sc-RNAseq\artifacts_benchmarkhvg_anchor_repair_20260425_v1\risk_parity_safe__duo8_pbmc\official_extra_rank_eval_budget_25.json|25,anchor_repair,adaptive_risk_parity_safe_hvg,anchor_repair:risk_parity_safe,duo8_pbmc,official_partial_discrete,discrete,25,D:\code_py\sc-RNAseq\artifacts_benchmarkhvg_anchor_repair_20260425_v1\risk_parity_safe__duo8_pbmc,False,True,False,False,True,False,mixed_tradeoff,3,1,1,2,0,1.0,"var_ratio,ari,nmi",lisi,lisi,"ari,nmi",,cuda,True
anchor_repair|adaptive_risk_parity_safe_hvg|duo8_pbmc|50,D:\code_py\sc-RNAseq\artifacts_benchmarkhvg_anchor_repair_20260425_v1\risk_parity_safe__duo8_pbmc\official_extra_rank_eval_budget_50.json|50,anchor_repair,adaptive_risk_parity_safe_hvg,anchor_repair:risk_parity_safe,duo8_pbmc,official_partial_discrete,discrete,50,D:\code_py\sc-RNAseq\artifacts_benchmarkhvg_anchor_repair_20260425_v1\risk_parity_safe__duo8_pbmc,False,True,False,False,True,False,mixed_tradeoff,3,1,1,2,0,1.0,"var_ratio,ari,nmi",lisi,lisi,"ari,nmi",,cuda,True
anchor_repair|adaptive_risk_parity_safe_hvg|pbmc_cite|100,D:\code_py\sc-RNAseq\artifacts_benchmarkhvg_anchor_repair_20260425_v1\risk_parity_safe__pbmc_cite\official_extra_rank_eval_budget_100.json|100,anchor_repair,adaptive_risk_parity_safe_hvg,anchor_repair:risk_parity_safe,pbmc_cite,official_partial_continuous,continuous,100,D:\code_py\sc-RNAseq\artifacts_benchmarkhvg_anchor_repair_20260425_v1\risk_parity_safe__pbmc_cite,False,True,False,False,True,False,mixed_tradeoff,1,5,3,0,2,-3.0,knn_ratio,"var_ratio,dist_cor,three_nn,max_ari,max_nmi","var_ratio,dist_cor,three_nn",,"max_ari,max_nmi",cuda,True
anchor_repair|adaptive_risk_parity_safe_hvg|pbmc_cite|200,D:\code_py\sc-RNAseq\artifacts_benchmarkhvg_anchor_repair_20260425_v1\risk_parity_safe__pbmc_cite\official_extra_rank_eval_budget_200.json|200,anchor_repair,adaptive_risk_parity_safe_hvg,anchor_repair:risk_parity_safe,pbmc_cite,official_partial_continuous,continuous,200,D:\code_py\sc-RNAseq\artifacts_benchmarkhvg_anchor_repair_20260425_v1\risk_parity_safe__pbmc_cite,False,True,False,False,True,False,mixed_tradeoff,5,1,1,2,0,1.0,"var_ratio,dist_cor,knn_ratio,max_ari,max_nmi",three_nn,three_nn,"max_ari,max_nmi",,cuda,True
anchor_repair|adaptive_risk_parity_safe_hvg|pbmc_cite|25,D:\code_py\sc-RNAseq\artifacts_benchmarkhvg_anchor_repair_20260425_v1\risk_parity_safe__pbmc_cite\official_extra_rank_eval_budget_25.json|25,anchor_repair,adaptive_risk_parity_safe_hvg,anchor_repair:risk_parity_safe,pbmc_cite,official_partial_continuous,continuous,25,D:\code_py\sc-RNAseq\artifacts_benchmarkhvg_anchor_repair_20260425_v1\risk_parity_safe__pbmc_cite,False,True,False,False,True,False,mixed_tradeoff,2,4,2,0,2,-2.0,"var_ratio,knn_ratio","dist_cor,three_nn,max_ari,max_nmi","dist_cor,three_nn",,"max_ari,max_nmi",cuda,True
anchor_repair|adaptive_risk_parity_safe_hvg|pbmc_cite|50,D:\code_py\sc-RNAseq\artifacts_benchmarkhvg_anchor_repair_20260425_v1\risk_parity_safe__pbmc_cite\official_extra_rank_eval_budget_50.json|50,anchor_repair,adaptive_risk_parity_safe_hvg,anchor_repair:risk_parity_safe,pbmc_cite,official_partial_continuous,continuous,50,D:\code_py\sc-RNAseq\artifacts_benchmarkhvg_anchor_repair_20260425_v1\risk_parity_safe__pbmc_cite,False,True,False,False,True,False,mixed_tradeoff,2,4,2,0,2,-2.0,"var_ratio,knn_ratio","dist_cor,three_nn,max_ari,max_nmi","dist_cor,three_nn",,"max_ari,max_nmi",cuda,True
mainline_benchmark|adaptive_core_consensus_hvg|duo8_pbmc|direct,D:\code_py\sc-RNAseq\artifacts_benchmarkhvg_formal_partial_20260424_v1\adaptive_core_consensus_hvg__duo8_pbmc|direct,mainline_benchmark,adaptive_core_consensus_hvg,core_consensus,duo8_pbmc,official_partial_discrete,discrete,direct,D:\code_py\sc-RNAseq\artifacts_benchmarkhvg_formal_partial_20260424_v1\adaptive_core_consensus_hvg__duo8_pbmc,False,True,False,False,True,False,mixed_tradeoff,2,2,2,2,0,0.0,"ari,nmi","var_ratio,lisi","var_ratio,lisi","ari,nmi",,cuda,True
mainline_benchmark|adaptive_core_consensus_hvg|pbmc_cite|direct,D:\code_py\sc-RNAseq\artifacts_benchmarkhvg_formal_partial_20260424_v1\adaptive_core_consensus_hvg__pbmc_cite|direct,mainline_benchmark,adaptive_core_consensus_hvg,core_consensus,pbmc_cite,official_partial_continuous,continuous,direct,D:\code_py\sc-RNAseq\artifacts_benchmarkhvg_formal_partial_20260424_v1\adaptive_core_consensus_hvg__pbmc_cite,False,True,False,False,True,False,mixed_tradeoff,4,2,2,2,0,0.0,"dist_cor,three_nn,max_ari,max_nmi","var_ratio,knn_ratio","var_ratio,knn_ratio","max_ari,max_nmi",,cuda,True
